simulation,match_id,team_a,team_b,ga,gb,outcome,winner,loser
5,31,Scotland,Morocco,6,1,H,Scotland,
5,32,Brazil,Haiti,1,3,A,Haiti,
5,33,Tunisia,Japan,2,1,H,Tunisia,
5,34,Netherlands,Sweden,2,0,H,Netherlands,
5,35,Germany,Côte d'Ivoire,1,1,D,,
5,36,Ecuador,Curaçao,2,0,H,Ecuador,
5,37,Spain,Saudi Arabia,2,2,D,,
5,38,Belgium,Iran,0,2,A,Iran,
5,39,Uruguay,Cabo Verde,1,1,D,,
5,40,New Zealand,Egypt,0,3,A,Egypt,
5,41,Argentina,Austria,2,0,H,Argentina,
5,42,France,Iraq,2,0,H,France,
5,43,Norway,Senegal,2,2,D,,
5,44,Jordan,Algeria,0,1,A,Algeria,
5,45,Portugal,Uzbekistan,3,1,H,Portugal,
5,46,England,Ghana,0,0,D,,
5,47,Panama,Croatia,5,1,H,Panama,
5,48,Colombia,DR Congo,0,0,D,,
5,49,Switzerland,Canada,3,0,H,Switzerland,
5,50,Bosnia and Herzegovina,Qatar,1,1,D,,
5,51,Scotland,Brazil,0,1,A,Brazil,
5,52,Morocco,Haiti,8,0,H,Morocco,
5,53,Czech Republic,Mexico,0,1,A,Mexico,
5,54,South Africa,South Korea,0,4,A,South Korea,
5,55,Curaçao,Côte d'Ivoire,0,3,A,Côte d'Ivoire,
5,56,Ecuador,Germany,7,0,H,Ecuador,
5,57,Japan,Sweden,0,0,D,,
5,58,Tunisia,Netherlands,1,4,A,Netherlands,
5,59,USA,Turkey,1,1,D,,
5,60,Paraguay,Australia,1,1,D,,
5,61,Norway,France,0,2,A,France,
5,62,Senegal,Iraq,3,1,H,Senegal,
5,63,Cabo Verde,Saudi Arabia,2,4,A,Saudi Arabia,
5,64,Uruguay,Spain,4,0,H,Uruguay,
5,65,Egypt,Iran,0,0,D,,
5,66,New Zealand,Belgium,1,0,H,New Zealand,
5,67,Panama,England,0,1,A,England,
5,68,Croatia,Ghana,0,5,A,Ghana,
5,69,Colombia,Portugal,0,1,A,Portugal,
5,70,DR Congo,Uzbekistan,0,1,A,Uzbekistan,
5,71,Algeria,Austria,1,3,A,Austria,
5,72,Jordan,Argentina,6,0,H,Jordan,
5,73,Mexico,Canada,0,4,A,Canada,Mexico
5,74,Scotland,Japan,1,2,A,Japan,Scotland
5,75,Ecuador,Brazil,1,1,D,Ecuador,Brazil
5,76,Netherlands,Morocco,2,1,H,Netherlands,Morocco
5,77,Côte d'Ivoire,Norway,0,5,A,Norway,Côte d'Ivoire
5,78,France,USA,8,0,H,France,USA
5,79,South Korea,Spain,1,1,D,Spain,South Korea
5,80,England,Germany,0,2,A,Germany,England
5,81,Iran,Senegal,1,1,D,Iran,Senegal
5,82,Turkey,Tunisia,0,1,A,Tunisia,Turkey
5,83,Colombia,Ghana,4,0,H,Colombia,Ghana
5,84,Saudi Arabia,Algeria,0,1,A,Algeria,Saudi Arabia
5,85,Switzerland,Argentina,0,1,A,Argentina,Switzerland
5,86,Australia,Egypt,0,1,A,Egypt,Australia
5,87,Austria,Uruguay,0,1,A,Uruguay,Austria
5,88,Portugal,Panama,1,0,H,Portugal,Panama
5,89,Canada,Ecuador,0,0,D,Ecuador,Canada
5,90,Japan,Norway,0,2,A,Norway,Japan
5,91,Netherlands,France,0,0,D,France,Netherlands
5,92,Spain,Germany,1,3,A,Germany,Spain
5,93,Colombia,Algeria,2,1,H,Colombia,Algeria
5,94,Iran,Tunisia,0,2,A,Tunisia,Iran
5,95,Egypt,Portugal,1,0,H,Egypt,Portugal
5,96,Argentina,Uruguay,1,1,D,Uruguay,Argentina
5,97,Ecuador,Norway,3,0,H,Ecuador,Norway
5,98,Colombia,Tunisia,2,0,H,Colombia,Tunisia
5,99,France,Germany,2,0,H,France,Germany
5,100,Egypt,Uruguay,3,1,H,Egypt,Uruguay
5,101,Ecuador,Colombia,1,2,A,Colombia,Ecuador
