model,class,feature,importance,abs_importance
logistic_regression_exp_h2h,H,num__avg_goal_diff_delta_last10,0.05515225606588547,0.05515225606588547
logistic_regression_exp_h2h,H,num__away_exp_years_since_first_match_filled,0.05463180019083442,0.05463180019083442
logistic_regression_exp_h2h,H,num__same_confederation,-0.05354380087737173,0.05354380087737173
logistic_regression_exp_h2h,A,num__away_exp_total_matches_prior,0.05272574939611931,0.05272574939611931
logistic_regression_exp_h2h,A,num__away_exp_same_family_matches_prior,0.05248024284249908,0.05248024284249908
logistic_regression_exp_h2h,H,num__confed_avg_elo_diff_prior_filled,-0.0517179529825951,0.0517179529825951
logistic_regression_exp_h2h,H,num__away_exp_total_matches_prior,0.051244537274693115,0.051244537274693115
logistic_regression_exp_h2h,A,num__home_exp_world_cup_matches_prior,-0.05123496662978478,0.05123496662978478
logistic_regression_exp_h2h,H,num__exp_major_recency_advantage_filled,0.050833224343846,0.050833224343846
logistic_regression_exp_h2h,D,cat__confederation_pair_AFC_vs_UEFA,-0.050592748442059625,0.050592748442059625
logistic_regression_exp_h2h,D,cat__confederation_pair_UEFA_vs_CONMEBOL,0.05003155856900181,0.05003155856900181
logistic_regression_exp_h2h,H,cat__confederation_pair_CAF_vs_CAF,0.049562694187942825,0.049562694187942825
logistic_regression_exp_h2h,H,num__away_exp_qualifier_matches_prior,-0.049342844914173595,0.049342844914173595
logistic_regression_exp_h2h,D,num__home_exp_avg_tournament_importance_prior_filled,0.04926104814856114,0.04926104814856114
logistic_regression_exp_h2h,D,num__confed_inter_points_per_match_diff_prior_filled,0.04906197369043929,0.04906197369043929
logistic_regression_exp_h2h,A,num__same_confederation,0.04869119863231093,0.04869119863231093
logistic_regression_exp_h2h,D,num__fifa_rank_diff_filled,0.04837839776339184,0.04837839776339184
logistic_regression_exp_h2h,D,num__away_exp_major_goal_diff_per_match_prior_filled,0.048363138525765306,0.048363138525765306
logistic_regression_exp_h2h,D,cat__confederation_pair_infrequent_sklearn,-0.04831830280758303,0.04831830280758303
logistic_regression_exp_h2h,H,num__h2h_goals_for_per_match_prior_filled,0.04780402307338325,0.04780402307338325
logistic_regression_exp_h2h,D,num__exp_continental_matches_prior_diff,-0.04753553427612152,0.04753553427612152
logistic_regression_exp_h2h,H,num__elo_prob_home_win_proxy,0.04635064458577244,0.04635064458577244
logistic_regression_exp_h2h,A,cat__confederation_pair_UEFA_vs_UEFA,0.04597589824191918,0.04597589824191918
logistic_regression_exp_h2h,A,num__exp_major_goal_diff_per_match_prior_diff_filled,-0.044888030634015565,0.044888030634015565
logistic_regression_exp_h2h,H,num__h2h_home_team_losses_prior,-0.04486631270104319,0.04486631270104319
