v3_weight,baseline_weight,validation_log_loss,validation_brier
0.506,0.494,0.9610907791603793,0.5700744708640502
0.507,0.493,0.9610745002453807,0.5700653257781568
0.508,0.492,0.9610582770643432,0.5700562125515612
0.509,0.491,0.9610421095886144,0.5700471311842635
0.51,0.49,0.9610259977896621,0.5700380816762636
0.511,0.489,0.9610099416390773,0.5700290640275613
0.512,0.488,0.960993941108571,0.5700200782381569
0.513,0.487,0.9609779961699753,0.5700111243080502
0.514,0.486,0.9609621067952432,0.5700022022372414
0.515,0.485,0.9609462729564473,0.5699933120257302
0.516,0.484,0.960930494625781,0.5699844536735169
0.517,0.483,0.960914771775556,0.5699756271806015
0.518,0.482,0.9608991043782041,0.5699668325469839
0.519,0.481,0.9608834924062756,0.5699580697726639
0.52,0.48,0.9608679358324397,0.5699493388576417
0.521,0.479,0.9608524346294833,0.5699406398019173
